timestamp_ms,frame_number,track_id,trial,body_scale,HEAD_raw_motion,HEAD_normalized_motion,HEAD_motion,LEFT_EYE_motion,RIGHT_EYE_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_EYE_observability,RIGHT_EYE_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_EYE_state,RIGHT_EYE_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
3355,72,1,NO TRIAL,0.12917416,0.00112653,0.00872104,0.00701708,0.01002382,0.01130434,0.02219159,0.01089702,0.00974694,0.01123496,0.01180634,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3401,73,1,NO TRIAL,0.12912561,0.00056327,0.00436216,0.00718318,0.01040992,0.01169239,0.02172377,0.01082911,0.00977373,0.01202415,0.01196852,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3433,74,1,NO TRIAL,0.12841706,0.00118937,0.00926178,0.00680725,0.00951033,0.01027572,0.01980413,0.00990406,0.01017757,0.01300297,0.01223818,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3479,75,1,NO TRIAL,0.12772186,0.00059469,0.00465610,0.00662302,0.00906705,0.00957404,0.01884967,0.00944558,0.01038515,0.01359288,0.01233394,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3511,76,1,NO TRIAL,0.12737142,0.00180877,0.01420077,0.00720597,0.01047322,0.01058254,0.01700911,0.00911175,0.00990157,0.01262912,0.01302728,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3543,77,1,NO TRIAL,0.12719511,0.00090439,0.00711023,0.00750239,0.01118165,0.01109475,0.01610158,0.00895466,0.00966772,0.01204866,0.01359526,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3574,78,1,NO TRIAL,0.12720507,0.00109354,0.00859664,0.00760192,0.01139129,0.01211640,0.01645083,0.01013275,0.01014093,0.01188621,0.01418730,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3606,79,1,NO TRIAL,0.12725911,0.00054677,0.00429649,0.00765065,0.01149459,0.01262623,0.01662132,0.01072065,0.01037642,0.01171615,0.01449773,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3637,80,1,NO TRIAL,0.12634484,0.00280654,0.02221330,0.00933718,0.01525461,0.01576184,0.01858963,0.01080765,0.01112129,0.01195997,0.01353113,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
3669,81,1,NO TRIAL,0.12543237,0.00140327,0.01118744,0.01019034,0.01715346,0.01734713,0.01959304,0.01085700,0.01150300,0.01211623,0.01292765,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
