timestamp_ms,frame_number,track_id,trial,body_scale,HEAD_raw_motion,HEAD_normalized_motion,HEAD_motion,LEFT_EYE_motion,RIGHT_EYE_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_EYE_observability,RIGHT_EYE_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_EYE_state,RIGHT_EYE_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
29829,875,1,SITTING_STILL,0.10313983,0.00158701,0.01538700,0.00682010,0.00796153,0.00722235,0.00885549,0.04135778,0.01896680,0.02389098,0.03476087,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
29876,876,1,SITTING_STILL,0.10332621,0.00047135,0.00456175,0.00708863,0.00781389,0.00749749,0.00883444,0.05426195,0.01899235,0.02401159,0.03277101,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
29908,877,1,SITTING_STILL,0.10296538,0.00058810,0.00571164,0.00736304,0.00807628,0.00808047,0.00818207,0.05531386,0.01813992,0.02147119,0.03107896,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
29940,878,1,SITTING_STILL,0.10299908,0.00096353,0.00935469,0.00767317,0.00880650,0.00977196,0.00736151,0.05782457,0.01815673,0.02176104,0.03662985,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
29973,879,1,SITTING_STILL,0.10336700,0.00131547,0.01272623,0.00846770,0.00861910,0.01111417,0.00714477,0.05954688,0.01895787,0.02341988,0.03573648,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30004,880,1,SITTING_STILL,0.10247894,0.00076444,0.00745946,0.00887629,0.00811370,0.01093293,0.00820338,0.06075406,0.02540944,0.02916430,0.04583363,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30036,881,1,SITTING_STILL,0.10254910,0.00130083,0.01268495,0.00933486,0.00886939,0.01199397,0.00800820,0.05789236,0.02508456,0.02814439,0.04356062,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30068,882,1,SITTING_STILL,0.10313833,0.00091528,0.00887433,0.00959501,0.00918251,0.01214624,0.00894130,0.05990531,0.02615762,0.02907861,0.04621891,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30101,883,1,SITTING_STILL,0.10353283,0.00037569,0.00362873,0.00812522,0.00799894,0.01004612,0.00942460,0.05666539,0.02673918,0.02745803,0.04660930,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30132,884,1,SITTING_STILL,0.10246347,0.00119944,0.01170598,0.00901825,0.00858605,0.01021070,0.00968519,0.04848502,0.03435519,0.04089157,0.05779131,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30172,885,1,SITTING_STILL,0.10228812,0.00123894,0.01211225,0.00981833,0.01050947,0.01229830,0.01094316,0.04524271,0.03387746,0.04088102,0.05677599,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,STATIONARY,MOVING
30203,886,1,SITTING_STILL,0.10113985,0.00153909,0.01521741,0.01055117,0.01121031,0.01174541,0.01344423,0.05193652,0.03979352,0.04714701,0.06394834,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,STATIONARY,MOVING,MOVING
30245,887,1,SITTING_STILL,0.10005937,0.00102469,0.01024079,0.01024049,0.01196154,0.01115768,0.01355430,0.05392692,0.04165738,0.04904327,0.06947724,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,STATIONARY,MOVING,MOVING
30281,888,1,SITTING_STILL,0.10015458,0.00110561,0.01103904,0.01068794,0.01269854,0.01082465,0.01289603,0.05597337,0.03632357,0.04508038,0.06355083,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,STATIONARY,MOVING,MOVING
30311,889,1,SITTING_STILL,0.10052376,0.00055281,0.00549925,0.00978972,0.01092864,0.00917934,0.01257317,0.05824958,0.03532705,0.04452357,0.06480900,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,STATIONARY,MOVING,MOVING
30343,890,1,SITTING_STILL,0.10052225,0.00097439,0.00969332,0.00989210,0.01131695,0.01003403,0.01236059,0.05641542,0.03514297,0.04366685,0.06373922,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,STATIONARY,MOVING,MOVING
