timestamp_ms,frame_number,HEAD_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
56672,1654,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56723,1655,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56754,1656,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56787,1657,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56819,1658,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56851,1659,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56883,1660,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56915,1661,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56947,1662,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
56980,1663,,,,,,,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNRELIABLE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
