timestamp_ms,frame_number,track_id,trial,body_scale,HEAD_raw_motion,HEAD_normalized_motion,HEAD_motion,LEFT_EYE_motion,RIGHT_EYE_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_EYE_observability,RIGHT_EYE_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_EYE_state,RIGHT_EYE_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
18970,547,3,STILL,0.13653983,0.00234918,0.01720510,0.00761230,0.01059449,0.00880055,0.01561694,0.00746890,0.00846937,0.03521370,0.03606018,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
19002,548,3,STILL,0.13637266,0.00096625,0.00708535,0.00784251,0.01075460,0.00879381,0.01549161,0.00865747,0.00884955,0.03196024,0.03384249,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
19034,549,3,STILL,0.13622216,0.00121406,0.00891234,0.00840580,0.01189865,0.00975753,0.01649870,0.00901791,0.00979648,0.03786653,0.03647163,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
19065,550,3,STILL,0.13579625,0.00094934,0.00699089,0.00871743,0.01171296,0.00957308,0.01721368,0.00906917,0.00993582,0.03922475,0.03786189,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
19098,551,3,STILL,0.13587009,0.00132610,0.00976009,0.00922001,0.01233997,0.01019379,0.01441730,0.01015951,0.01011741,0.04106078,0.03642178,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,MOVING
19129,552,3,STILL,0.13535228,0.00206463,0.01525377,0.00981114,0.01201836,0.00968396,0.01414082,0.01026179,0.01067735,0.03830238,0.03150838,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,MOVING
19161,553,3,STILL,0.13453819,0.00167066,0.01241771,0.01084669,0.01272628,0.01066669,0.01528466,0.01124601,0.01099825,0.03947181,0.03337937,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,MOVING
19210,554,3,STILL,0.13396158,0.00142510,0.01063815,0.01103293,0.01391559,0.01256965,0.01502647,0.01142545,0.01240050,0.04094756,0.03657554,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,MOVING
19241,555,3,STILL,0.13377752,0.00244714,0.01829259,0.01116886,0.01611116,0.01423696,0.01623652,0.01288794,0.01304424,0.04324991,0.03634973,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,MOVING
19273,556,3,STILL,0.13326332,0.00202849,0.01522169,0.01218590,0.01871055,0.01778572,0.01554753,0.01531661,0.01332263,0.04138343,0.03533483,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING,MOVING
