timestamp_ms,frame_number,track_id,trial,body_scale,HEAD_raw_motion,HEAD_normalized_motion,HEAD_motion,LEFT_EYE_motion,RIGHT_EYE_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_EYE_observability,RIGHT_EYE_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_EYE_state,RIGHT_EYE_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
13862,396,1,STILL,0.14145580,0.00105308,0.00744459,0.01092689,0.01696182,0.01607576,0.00984148,0.00967045,0.00870539,0.02316804,0.01580342,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
13894,397,1,STILL,0.14171857,0.00200272,0.01413165,0.01184911,0.01769570,0.01621998,0.00975419,0.00834760,0.00935133,0.02031696,0.01862711,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
13926,398,1,STILL,0.14129143,0.00173965,0.01231249,0.01106860,0.01558501,0.01408825,0.01071330,0.00983392,0.00996464,0.01962659,0.01993919,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
13966,399,1,STILL,0.14019597,0.00170660,0.01217297,0.01143511,0.01664406,0.01568720,0.01191138,0.01084307,0.01192290,0.02209358,0.02124631,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14006,400,1,STILL,0.13858880,0.00123478,0.00890970,0.01093083,0.01504661,0.01518556,0.01354504,0.01160851,0.01273450,0.02076938,0.02080287,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14047,401,1,STILL,0.13716280,0.00172175,0.01255263,0.01147312,0.01647764,0.01688801,0.01439526,0.01276385,0.01343268,0.01814833,0.02111939,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14085,402,1,STILL,0.13645014,0.00086088,0.00630910,0.01109244,0.01726905,0.01708601,0.01414417,0.01187252,0.01278821,0.01766313,0.01872368,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14117,403,1,STILL,0.13657300,0.00144958,0.01061395,0.01055589,0.01697353,0.01692194,0.01567303,0.01361714,0.01416283,0.01815486,0.01863528,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14149,404,1,STILL,0.13592070,0.00196711,0.01447251,0.01143437,0.01969763,0.01984300,0.01774781,0.01694754,0.01659595,0.02402165,0.02181389,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14180,405,1,STILL,0.13635548,0.00240092,0.01760781,0.01186890,0.02184030,0.02220716,0.02123420,0.01913211,0.01858564,0.02600543,0.02257110,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
14212,406,1,STILL,0.13657869,0.00120046,0.00878952,0.01142852,0.02170267,0.02339775,0.02173875,0.01882443,0.01887583,0.02686289,0.02222817,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
